City,State,Sale Amount,Sale Date
Guerramouth,Wisconsin,2829.41,2024-09-17
South Laura,Oklahoma,2572.44,2024-05-25
Nicholasport,Indiana,2347.2,2024-05-10
New Joseph,West Virginia,3735.82,2024-11-10
Acevedoville,Minnesota,1561.46,2024-10-05
Seanmouth,Vermont,4303.05,2024-04-06
North Carrieside,Hawaii,4204.44,2024-02-11
Lake Sandra,Michigan,707.32,2024-08-03
Rodriguezburgh,Idaho,4443.67,2024-08-13
Ricefort,Oklahoma,1446.16,2024-09-24
Alvarezton,New Jersey,2484.13,2024-08-13
Emilystad,Washington,3168.56,2023-11-27
Port Mary,South Carolina,2081.25,2024-06-13
Smithview,Nevada,434.89,2024-10-24
Scottchester,Oklahoma,4299.48,2024-04-20
South Derrickfort,Virginia,1154.65,2024-05-07
Mathewsberg,North Carolina,1296.96,2024-06-16
Christinamouth,Michigan,4049.81,2024-01-24
Gonzalezchester,Minnesota,1899.59,2024-02-23
South Danielton,Wisconsin,4437.5,2024-05-20
East Douglaston,Nevada,3595.56,2024-08-07
Patriciafort,Oregon,1598.46,2024-08-17
Tanyaton,North Dakota,347.71,2023-12-02
Johnburgh,Colorado,4755.89,2024-10-06
West Amy,Kentucky,702.38,2024-01-29
New Lanceport,Arkansas,3684.35,2024-01-16
West Christineville,Alabama,2596.32,2024-09-30
South Jamesshire,Montana,3863.37,2024-09-26
Aprilside,Kentucky,3545.86,2024-03-11
Burtonton,Virginia,3335.74,2024-06-19
Lake Angelaside,Alaska,2606.86,2024-01-29
Port Randy,Florida,4026.78,2024-05-27
Port Eric,Kansas,737.35,2024-07-17
Savageton,Florida,1341.5,2024-10-23
Reedfurt,Texas,3551.4,2023-12-23
Millerhaven,Alabama,1739.17,2024-04-19
Moonside,Virginia,3033.31,2024-04-08
Hayesfort,South Carolina,2524.32,2023-12-13
Christopherborough,Nevada,2795.33,2024-06-07
North Danielle,Colorado,2299.87,2024-11-10
New Anaton,Alaska,3805.9,2024-03-04
Port Bradley,Florida,1854.72,2024-02-19
West Daniellebury,Kansas,3603.42,2023-12-03
South Ray,Wisconsin,1573.31,2024-09-01
East Kaitlin,Indiana,1481.6,2024-05-10
Port Matthew,Alabama,867.08,2024-05-19
Leefort,California,1205.15,2024-01-04
Marychester,Georgia,861.91,2024-11-21
Brucechester,Maine,2818.56,2024-04-06
New Markburgh,West Virginia,3882.29,2024-05-19
West Brianview,Oregon,1170.2,2023-12-30
East David,Iowa,1317.01,2024-06-17
Sarahborough,Hawaii,2575.73,2024-11-01
East Maryhaven,North Dakota,3705.55,2024-08-21
West Nathanview,Hawaii,4890.05,2024-10-10
West Linda,Ohio,2765.79,2023-12-31
New Danielle,Louisiana,1630.09,2024-11-14
East Chelseahaven,Oregon,772.47,2024-07-23
West Darius,West Virginia,1212.35,2024-02-18
East Ashleytown,Indiana,1369.17,2024-01-08
Millerbury,Pennsylvania,1143.38,2024-01-29
Lopezborough,Iowa,366.5,2024-09-26
New Kevin,Georgia,2810.43,2024-07-05
West Christianton,Wyoming,1589.26,2024-07-19
West Tamara,Tennessee,4879.19,2024-06-05
South Michelle,Washington,2900.79,2024-01-16
Lopezburgh,South Dakota,3577.86,2024-10-20
Lake Sandra,Rhode Island,893.51,2024-05-03
Floresview,Massachusetts,4381.77,2024-02-16
East Carolynton,Tennessee,2607.13,2024-07-25
Blanchardtown,New Mexico,4401.78,2024-05-08
Tammyfurt,Texas,2998.1,2023-12-29
Estradabury,Michigan,2506.17,2024-11-22
Carolynfort,Florida,2370.2,2023-12-29
Port Kimberlyberg,Kentucky,1166.51,2024-10-22
Kristinaberg,South Carolina,541.47,2024-10-31
North Cynthiamouth,North Carolina,4723.0,2024-02-22
Bensonmouth,Nevada,2545.33,2024-06-06
South Andrew,Indiana,4163.94,2024-04-10
Christopherside,Oklahoma,2183.32,2024-08-24
Saundersside,Texas,648.19,2024-09-28
South Shannon,Washington,3258.39,2024-10-01
North Eric,Florida,551.96,2024-08-05
East Gregory,Maryland,1001.23,2024-05-13
Jacobshire,Rhode Island,2945.35,2024-03-09
South Charles,Tennessee,1728.03,2024-01-19
West Alexis,Louisiana,4971.42,2024-02-26
Brianaton,West Virginia,856.72,2023-12-09
Mcculloughview,West Virginia,3892.88,2023-12-17
Ellisbury,Kentucky,3149.69,2024-06-01
Ericberg,North Dakota,4016.48,2024-08-15
Brownborough,Louisiana,1360.73,2024-09-19
Richardton,North Carolina,2756.09,2024-10-04
Lake Brandi,Michigan,2417.42,2024-05-18
Barnesmouth,Indiana,2380.79,2024-07-12
Port Matthewchester,New Jersey,4342.78,2024-06-16
West Emilyton,Kansas,4953.15,2024-05-31
Port Jessicaborough,Missouri,1735.29,2024-10-06
Lopezland,Arizona,3218.83,2024-06-18
Crystalstad,Alabama,3165.27,2024-01-26
Heatherland,Mississippi,3778.42,2024-07-15
Cynthiastad,Montana,4753.67,2024-02-25
New Maryport,Alabama,1276.6,2024-10-16
West Cassieview,Arkansas,1291.82,2024-03-16
Garrettshire,Wisconsin,3404.01,2024-05-14
Sarahburgh,Washington,1038.17,2024-07-04
Lake Justinport,New Jersey,1116.92,2024-03-29
Harrisonborough,Florida,652.8,2024-07-03
East Austinland,Wisconsin,312.58,2024-06-25
Port Darren,Missouri,2417.37,2024-08-04
Sandovaltown,Washington,3090.91,2024-01-03
East Toddberg,Kentucky,1668.92,2024-05-23
Andreamouth,Arizona,1387.94,2024-04-26
South Emily,Arkansas,3622.69,2024-09-18
Jenniferchester,West Virginia,3604.04,2024-08-21
Lake Jeffrey,Texas,2433.95,2024-02-03
Port Benjaminburgh,Wyoming,3530.71,2024-04-10
Dominiqueberg,New Jersey,4642.38,2024-01-22
Dickersonport,California,4002.79,2023-11-29
Sergiofurt,Maryland,3237.77,2024-09-23
Kariview,Michigan,3407.56,2024-08-10
South Johnside,Wyoming,4688.24,2024-04-06
Michaelburgh,North Dakota,2298.15,2024-09-06
Port Kristen,Minnesota,2859.44,2024-03-12
Santanastad,North Dakota,3343.88,2024-03-17
Espinozaburgh,Idaho,4569.53,2024-07-22
Port Katelynmouth,Iowa,4185.17,2024-03-04
Port Kristinatown,Michigan,635.63,2024-11-19
South Angela,Ohio,1079.84,2024-01-29
Lake Melindabury,New Mexico,1745.78,2024-03-06
Walkerfort,West Virginia,3820.1,2024-02-23
South Elizabethhaven,New York,2975.27,2024-06-17
Teresaview,Louisiana,1656.47,2024-03-01
East Jillianville,South Carolina,884.46,2024-06-25
Port Ryanville,Colorado,3536.79,2024-03-10
Rachelland,Louisiana,3588.75,2024-01-02
Shawnchester,Missouri,4730.58,2024-05-27
Gomezburgh,Virginia,2652.22,2024-11-16
Ryanside,Virginia,2620.84,2024-11-05
West Heatherview,Maryland,678.08,2024-06-15
North Michael,Tennessee,487.35,2024-02-17
North Suzanne,Maine,2330.53,2024-07-01
Lindaton,Minnesota,1814.91,2024-07-11
Wilcoxside,Alaska,1476.73,2024-03-06
Port Elizabeth,South Dakota,729.24,2024-08-26
Tonybury,Kansas,4820.98,2024-07-17
Ryanton,Alaska,4229.01,2024-04-28
New Chadville,Connecticut,3003.44,2024-02-22
Jessicaville,New York,4768.7,2023-12-20
South Michelle,Idaho,4997.99,2024-09-14
North Jessicaville,Kansas,3459.72,2024-06-07
South Stacy,Indiana,1566.7,2024-03-02
Willismouth,New Mexico,489.09,2024-03-18
Port Stevenmouth,Alaska,3854.46,2024-08-06
Sarahton,Iowa,2511.35,2024-11-22
South Erinshire,West Virginia,3362.09,2024-02-17
Davidland,Vermont,4605.54,2024-10-04
Brandonfort,Washington,1153.0,2024-09-22
Ryanfort,New Mexico,3051.05,2024-08-21
Andersonhaven,Washington,3283.49,2024-04-12
New Ashley,Massachusetts,2611.11,2024-10-09
South Donald,Alaska,728.84,2024-02-09
Kyleport,Ohio,1935.42,2024-06-13
Jacquelineborough,West Virginia,1866.55,2024-04-25
East Malloryfort,Washington,3449.63,2024-08-04
Shelbybury,Florida,4331.35,2024-06-15
New Ginaberg,Nevada,1850.08,2023-12-20
West Calebfurt,Colorado,3560.27,2024-01-29
Jennifershire,Wisconsin,1654.62,2024-08-04
Port Brett,Wyoming,4742.41,2024-10-16
Jacksonshire,Maryland,4123.76,2024-08-25
Changberg,Maryland,2885.45,2024-04-16
Port Katrina,New Mexico,2437.68,2024-02-23
North Victormouth,New York,1778.23,2024-11-06
West Dianatown,Texas,1819.39,2024-02-26
South Kevin,Kentucky,4859.87,2023-12-16
West Amy,California,2199.62,2024-11-20
Obrienton,Nebraska,2718.6,2024-08-24
East Mitchellberg,Arizona,4944.16,2024-07-20
West Alex,Utah,3391.0,2024-10-31
North Ericmouth,Georgia,2850.19,2024-05-12
Samanthafurt,Colorado,2242.26,2024-04-23
West Christopher,Rhode Island,1181.64,2024-02-01
South Kaitlynfort,Georgia,2000.36,2024-05-01
North Travistown,Utah,3855.28,2024-01-21
Port Natasha,Utah,3239.42,2023-12-20
Lake Natalieburgh,New Mexico,3871.96,2024-03-19
Carterchester,New Mexico,1256.72,2024-03-10
Claudiashire,New Jersey,2881.33,2024-06-14
South Danielport,Georgia,4660.06,2024-09-26
Catherinehaven,New Jersey,2359.15,2024-05-01
Mclaughlinside,New Hampshire,3581.78,2024-07-22
North Laura,New Mexico,870.7,2024-10-29
Bellberg,Delaware,4873.79,2024-02-24
Ginashire,Minnesota,3161.7,2024-01-19
West Dawnbury,New Mexico,1424.7,2023-12-25
Osbornburgh,Indiana,1044.38,2024-05-21
Contrerasview,Nevada,2888.94,2023-12-08
Rosaleshaven,Alaska,2895.58,2024-08-30
Carolinemouth,New Jersey,738.08,2024-09-09
West Robertshire,Connecticut,4963.61,2024-08-19
Josephfurt,Alaska,4590.77,2024-04-01
Lake Martin,North Dakota,2468.81,2024-09-17
New David,Kansas,852.09,2024-10-24
New Joshua,Maine,4211.07,2023-11-29
North Kimberlymouth,New Mexico,2642.36,2024-09-10
Parkerport,Delaware,3668.04,2024-09-17
North Dominiquefort,Massachusetts,2691.7,2024-03-03
Brewerchester,Wyoming,1585.1,2024-09-28
West Craig,Colorado,4223.2,2023-12-31
Delgadofort,Nebraska,4907.15,2024-10-18
Emilytown,Kansas,1445.54,2024-08-20
Margarettown,North Carolina,2890.95,2024-01-26
Burnsville,Louisiana,2102.85,2024-01-19
North Zoehaven,North Dakota,4632.78,2024-10-03
North Peterland,Alabama,2688.73,2024-02-06
Tracyfurt,Rhode Island,4432.83,2023-12-12
Andrewstad,Nevada,4360.93,2024-07-24
Lake Ronald,Connecticut,1598.36,2024-08-24
South Zacharyside,North Carolina,4013.03,2024-10-31
Christinemouth,North Carolina,2250.23,2024-05-20
West Thomasport,Tennessee,4690.97,2024-03-02
Lake Dawnbury,Connecticut,2686.37,2024-02-13
West Barbarafurt,Indiana,4156.58,2024-07-08
West Ashleytown,Tennessee,1629.34,2024-08-08
Ponceton,Utah,1703.21,2024-01-05
West Scottport,West Virginia,3058.61,2023-12-06
West Meghan,Oklahoma,4994.84,2024-02-16
Chandlerstad,North Carolina,2601.31,2024-01-22
Brownborough,Montana,998.4,2024-04-19
North Christopherview,Vermont,2831.33,2024-01-15
Brianfort,Louisiana,1922.08,2024-09-29
East Katie,Rhode Island,2894.01,2024-04-10
Michelleville,Tennessee,2854.12,2024-04-03
Deborahmouth,New Mexico,2440.12,2024-10-07
North Kennethview,Nevada,1812.35,2024-09-01
Port Maryfort,Georgia,1186.67,2024-09-17
East Leslieland,Arkansas,3578.24,2024-05-17
New Kathryn,North Dakota,2987.45,2024-09-23
New Stefanieburgh,North Carolina,1397.74,2024-06-11
Donaldland,Alaska,3945.06,2024-04-17
North Amberborough,Texas,505.14,2024-05-24
New Yolanda,Louisiana,3800.11,2024-11-04
Port Jamiestad,Alabama,3614.57,2024-10-01
East Russellport,Connecticut,4113.62,2024-07-07
Lake Annette,Massachusetts,2114.57,2024-04-03
Lopezfurt,Oklahoma,3419.34,2024-06-07
South Erin,Louisiana,4157.51,2024-03-31
South Williambury,Oregon,4909.85,2024-06-01
New Jamesport,Florida,2628.04,2024-11-22
Quinnton,South Dakota,473.99,2024-09-06
East Mariatown,Colorado,2660.77,2024-09-06
Raymondchester,New Hampshire,3073.85,2024-07-01
North Coreymouth,Virginia,4387.59,2024-08-22
Gayport,New Mexico,4408.69,2024-06-04
Millstown,Nevada,2369.44,2024-05-30
Heathermouth,Wisconsin,2771.97,2024-09-13
Port Davidmouth,West Virginia,2447.56,2024-10-10
Vaughnberg,South Dakota,3695.49,2024-04-11
Catherineport,New Jersey,2226.9,2024-07-19
South Chadfurt,Utah,3377.47,2024-09-14
Baileyburgh,Colorado,1025.5,2024-05-22
Colinburgh,Idaho,2506.61,2024-09-20
Stephanieport,North Carolina,4855.26,2024-03-19
East Roberto,Oregon,1891.24,2024-09-10
South Kimberly,Indiana,3555.71,2024-03-10
East Heather,South Dakota,3354.23,2023-12-15
Johnsonhaven,Arizona,4303.3,2024-03-25
Tamaramouth,Louisiana,4306.0,2024-07-10
Port Traci,Maryland,4338.91,2024-02-26
Millsmouth,Rhode Island,2086.04,2024-06-09
Lake Kimberlyshire,Hawaii,1788.31,2024-06-06
Randolphland,Arkansas,3677.97,2024-10-12
Port Deborah,Missouri,3869.19,2024-05-02
Port Taylor,New Jersey,4400.2,2024-03-08
Lake Jonathanhaven,Maine,468.73,2024-06-04
Collinschester,Kentucky,621.58,2024-08-31
Amandaborough,California,3266.46,2024-07-27
Valentinetown,North Carolina,4628.37,2024-03-09
Davidsonshire,Maine,4987.9,2024-10-26
Blankenshipburgh,Georgia,3809.8,2024-11-11
Angelaborough,Alabama,2339.67,2024-07-26
Laurenshire,Nebraska,762.68,2024-02-29
West Angela,Ohio,3278.61,2024-02-26
Littlefort,North Dakota,4401.12,2023-12-02
Lake Randy,Connecticut,2385.29,2024-07-18
Taramouth,Wisconsin,3561.81,2024-07-08
West Christopherburgh,Hawaii,4546.09,2024-02-20
South Jamesshire,Kansas,516.16,2023-12-17
West Lori,Oregon,4041.87,2024-04-25
Laneborough,Nebraska,1678.83,2024-09-01
New Vickie,Georgia,2061.75,2024-08-23
Barbarashire,Arkansas,984.18,2024-05-26
West Valerieshire,North Dakota,2796.48,2024-10-19
East Danielle,Wyoming,2959.86,2024-10-05
New Patriciastad,Massachusetts,4024.84,2024-04-29
North Christianmouth,Rhode Island,1098.92,2024-07-12
West Sarah,Wyoming,671.15,2023-11-26
Port Michaelmouth,South Carolina,4392.95,2024-11-22
Coreyberg,New Hampshire,3212.64,2024-05-02
North Hannahchester,New Hampshire,1431.9,2024-09-22
Lisastad,Minnesota,4590.3,2024-11-15
Cynthiaport,Colorado,972.65,2024-09-09
West Brittany,Massachusetts,2467.4,2023-12-25
West Kim,Wisconsin,1493.69,2023-12-01
Tuckerfort,Delaware,1500.04,2024-03-25
Lunafurt,South Dakota,344.17,2024-05-21
West Michael,Florida,4081.78,2024-06-22
Priceberg,Oklahoma,4535.68,2023-12-19
South Rogerside,Texas,3484.77,2024-06-06
East Bethfurt,Michigan,1042.49,2024-08-15
New Coreyville,Rhode Island,2376.13,2024-09-06
Katieport,Michigan,1924.16,2024-05-22
Port Scottshire,Nevada,3061.59,2024-07-12
South Lauraborough,Minnesota,3303.01,2023-12-11
Bakershire,New Jersey,2294.25,2023-12-05
Perkinsborough,New Hampshire,1475.46,2024-06-17
New Hannahland,Vermont,4272.93,2024-07-13
East Douglas,Hawaii,1236.32,2024-03-24
New Hannahchester,Oklahoma,2108.06,2024-01-16
Harrishaven,North Dakota,2571.08,2024-05-01
West Cynthia,Nebraska,1414.87,2024-07-14
Port Deborahshire,Tennessee,2988.04,2024-02-17
Karenhaven,Maine,3001.62,2023-12-05
Robertton,North Dakota,4965.65,2024-01-04
Patrickborough,North Carolina,1687.58,2023-12-27
Port Charles,North Carolina,4896.34,2024-01-26
Wardberg,Michigan,3393.68,2024-05-18
Royside,Nebraska,1590.06,2024-09-26
Smithbury,Michigan,2959.87,2024-01-26
Johnsonton,Pennsylvania,3523.26,2024-07-15
Ashleymouth,South Carolina,3799.94,2024-10-27
East Robert,South Dakota,530.51,2024-05-19
Lake Edwin,Idaho,3150.11,2024-03-23
North Ricky,Florida,2634.62,2024-06-18
Joshuachester,Alaska,4549.53,2024-10-05
Lake Melissa,California,1645.11,2023-12-05
Lake Henry,California,4054.64,2024-03-04
Justinstad,Hawaii,3153.21,2024-07-21
East Sandraside,Utah,1955.91,2024-01-27
Martinfort,Michigan,3292.1,2024-11-15
New Christopherview,Washington,3218.19,2024-10-31
Katherinefort,Wisconsin,3485.49,2024-03-21
East Dawnport,New Mexico,3688.36,2024-06-20
Matthewview,Indiana,3398.15,2023-12-20
Sydneychester,Massachusetts,4240.18,2024-06-16
Pittmanview,Oklahoma,3252.77,2024-02-29
Dakotaview,Alaska,4546.0,2024-01-25
Parkerberg,Vermont,3337.8,2024-09-04
North Melinda,Maryland,1751.98,2024-01-24
Lisaton,Oklahoma,2371.87,2024-02-07
Bellview,West Virginia,3024.0,2024-11-11
Perezport,Oklahoma,3742.09,2024-06-17
Port Beth,Florida,723.63,2024-05-02
Johnsonfort,Wisconsin,1687.02,2023-12-19
Port Briannamouth,Connecticut,3813.16,2024-03-08
Hardymouth,Connecticut,1125.51,2024-03-03
East Courtney,Texas,921.15,2024-01-25
Mezaside,Oklahoma,2835.22,2024-05-11
Christinastad,Maryland,4866.0,2024-07-20
Murrayland,South Carolina,2795.01,2024-10-14
Meganport,New Hampshire,4593.39,2024-06-25
North Patrick,Iowa,4203.22,2024-06-10
Raymondtown,Wisconsin,1507.76,2024-08-25
Port Sabrinaborough,Connecticut,4176.04,2024-10-13
Port Katherine,Mississippi,2564.68,2024-03-15
East Charles,New Jersey,4090.5,2024-07-17
South Michaelatown,Maryland,3808.83,2023-11-25
Jenniferbury,Missouri,1891.96,2024-02-18
South Jessicashire,Idaho,841.3,2023-12-31
South Kevintown,Nebraska,4825.6,2024-11-03
South Annaburgh,Connecticut,961.56,2024-06-05
Yvonneton,North Carolina,4842.55,2024-10-31
Angelashire,Arkansas,4342.66,2024-09-03
New Isaacfurt,West Virginia,3703.82,2024-08-13
Stephenborough,South Dakota,4905.73,2023-12-13
Annafort,Rhode Island,4846.17,2024-02-13
North Kenneth,Virginia,4081.56,2024-03-14
South Amandaburgh,Kentucky,2019.14,2024-05-11
Acostaberg,New York,4016.21,2024-01-24
Blackville,Pennsylvania,365.42,2023-12-20
Briantown,Alabama,2821.89,2024-10-24
Port Sherryshire,Oklahoma,2437.49,2023-12-03
Lake Raymond,Utah,3462.29,2024-02-22
South Rebeccaport,Nebraska,3460.0,2023-12-20
Lopezland,Michigan,3047.43,2024-10-19
North Jessicaton,Montana,4165.36,2024-05-07
Garciaport,Ohio,4719.37,2024-08-21
Gwendolynfort,Nebraska,809.23,2024-02-27
North Aaronborough,Massachusetts,1398.96,2024-05-15
New Matthewport,New York,417.62,2024-05-09
Ramseyborough,Nevada,4455.9,2024-06-22
Jasonfurt,Montana,2938.61,2023-12-08
Destinymouth,West Virginia,4601.7,2024-06-01
Ortiztown,Georgia,1340.43,2024-06-21
Vincentstad,Vermont,597.12,2024-06-15
North Christieberg,Maryland,4172.12,2024-10-12
Port Patrickville,New Jersey,4574.12,2023-11-25
Harrellshire,New Hampshire,1720.29,2024-10-12
Richardborough,Texas,2218.99,2024-05-03
East Adrian,Kansas,956.95,2024-08-30
Port Tony,Vermont,4747.43,2024-08-07
Barbaraburgh,Nebraska,1730.51,2024-01-10
Lake Paulside,Vermont,2615.34,2024-11-21
Cookhaven,Michigan,756.8,2024-03-13
Port John,Utah,4470.12,2024-06-24
South Julieburgh,Florida,937.62,2024-04-02
Ortizchester,Maine,2432.13,2024-09-30
Tommyshire,Maine,3451.29,2023-12-28
South Kristie,Pennsylvania,3792.76,2024-01-14
Taratown,Oklahoma,4746.08,2024-06-14
South David,Texas,2269.9,2024-07-30
East Bradleyberg,Colorado,3788.66,2024-03-04
New Johnfurt,Maine,1026.26,2024-03-14
Kristafort,Maine,2249.96,2024-03-30
Moorefort,New Hampshire,765.4,2024-07-30
Christineborough,Texas,2599.93,2023-12-27
East Jessica,Connecticut,2218.14,2024-08-18
North Lindseybury,New Hampshire,4772.15,2023-12-07
South Michelle,Iowa,453.77,2024-03-04
New Kylefort,Missouri,2041.49,2024-11-14
South Deborah,Arizona,2383.9,2023-12-12
New Chelseashire,New Jersey,4767.61,2024-08-25
Lake Matthew,Nebraska,4320.62,2024-07-15
